station_id,station,area,lat,lon,grid_lat,grid_lon,hour,pm25_measured,pm25_cams,diff_cams_minus_measured,ratio
67t,"Municipality Office, Nan","ต.ในเวียง อ.เมือง, น่าน",18.7888833,100.7763166,18.800003,100.80002,2026-09-05 02:00:00,16.3,16.1,-0.1999999999999993,0.9877300613496932
75t,Chalermprakiet Hospital,"ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ, น่าน",19.5759666,101.0815166,19.599998,101.100006,2026-09-05 02:00:00,6.9,1.7,-5.2,0.2463768115942028
70t,"Phayao Provincial, Phayao","ต.บ้านต๋อม อ.เมือง, พะเยา",19.200226,99.893048,19.200005,99.899994,2026-09-05 02:00:00,10.2,8.9,-1.299999999999999,0.8725490196078433
37t,"Meteorological stations, Lampang","ต.พระบาท อ.เมือง, ลำปาง",18.2783333,99.5064666,18.300003,99.5,2026-09-05 02:00:00,11.1,3.6,-7.5,0.3243243243243243
38t,"Health Promotion Hospital Sob Pad, Lampang","ต.สบป้าด อ.แม่เมาะ, ลำปาง",18.2508166,99.76395,18.300003,99.80002,2026-09-05 02:00:00,10.7,3.6,-7.1,0.3364485981308411
39t,Health Promotion Hospital Banthasri,"ต.บ้านดง อ.แม่เมาะ, ลำปาง",18.4267833,99.7576333,18.400002,99.80002,2026-09-05 02:00:00,10.6,3.6,-7.0,0.339622641509434
40t,Provincial Waterworks Authority Mae Moh,"ต.แม่เมาะ อ.แม่เมาะ, ลำปาง",18.2826333,99.6598166,18.300003,99.70001,2026-09-05 02:00:00,12.6,3.6,-9.0,0.2857142857142857
68t,"Meteorological Staions, Lamphun","ต.บ้านกลาง อ.เมือง, ลำพูน",18.567194,99.038639,18.599998,99.0,2026-09-05 02:00:00,12.9,4.3,-8.600000000000001,0.3333333333333333
57t,"Natural Resources and Environment Office, Chiangrai","ต.เวียง อ.เมือง, เชียงราย",19.909217,99.823467,19.900002,99.80002,2026-09-05 02:00:00,7.3,4.5,-2.8,0.6164383561643836
73t,Maesai Health Office,"ต.เวียงพางคำ อ.แม่สาย, เชียงราย",20.427325,99.883842,20.400002,99.899994,2026-09-05 02:00:00,11.1,4.6,-6.5,0.4144144144144144
35t,"City Hall, Chiangmai","ต.ช้างเผือก อ.เมือง, เชียงใหม่",18.840732,98.96978,18.800003,99.0,2026-09-05 02:00:00,18.4,13.2,-5.199999999999999,0.717391304347826
36t,Yupparaj Wittayalai School,"ต.ศรีภูมิ อ.เมือง, เชียงใหม่",18.7909333,98.99,18.800003,99.0,2026-09-05 02:00:00,14.0,13.2,-0.8000000000000007,0.9428571428571428
69t,"Meteorology Center, Phrae","ต.นาจักร อ.เมือง, แพร่",18.1283666,100.1624333,18.099998,100.20001,2026-09-05 02:00:00,10.6,4.5,-6.1,0.4245283018867924
58t,"Natural Resources and Environment Office, Mae Hongson","ต.จองคำ อ.เมือง, แม่ฮ่องสอน",19.30455,97.97165,19.300003,98.0,2026-09-05 02:00:00,11.2,3.2,-7.999999999999999,0.2857142857142857
67t,"Municipality Office, Nan","ต.ในเวียง อ.เมือง, น่าน",18.7888833,100.7763166,18.800003,100.80002,2026-09-05 02:00:00,16.3,16.1,-0.1999999999999993,0.9877300613496932
75t,Chalermprakiet Hospital,"ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ, น่าน",19.5759666,101.0815166,19.599998,101.100006,2026-09-05 02:00:00,6.9,1.7,-5.2,0.2463768115942028
70t,"Phayao Provincial, Phayao","ต.บ้านต๋อม อ.เมือง, พะเยา",19.200226,99.893048,19.200005,99.899994,2026-09-05 02:00:00,10.2,8.9,-1.299999999999999,0.8725490196078433
37t,"Meteorological stations, Lampang","ต.พระบาท อ.เมือง, ลำปาง",18.2783333,99.5064666,18.300003,99.5,2026-09-05 02:00:00,11.1,3.6,-7.5,0.3243243243243243
38t,"Health Promotion Hospital Sob Pad, Lampang","ต.สบป้าด อ.แม่เมาะ, ลำปาง",18.2508166,99.76395,18.300003,99.80002,2026-09-05 02:00:00,10.7,3.6,-7.1,0.3364485981308411
39t,Health Promotion Hospital Banthasri,"ต.บ้านดง อ.แม่เมาะ, ลำปาง",18.4267833,99.7576333,18.400002,99.80002,2026-09-05 02:00:00,10.6,3.6,-7.0,0.339622641509434
40t,Provincial Waterworks Authority Mae Moh,"ต.แม่เมาะ อ.แม่เมาะ, ลำปาง",18.2826333,99.6598166,18.300003,99.70001,2026-09-05 02:00:00,12.6,3.6,-9.0,0.2857142857142857
68t,"Meteorological Staions, Lamphun","ต.บ้านกลาง อ.เมือง, ลำพูน",18.567194,99.038639,18.599998,99.0,2026-09-05 02:00:00,12.9,4.3,-8.600000000000001,0.3333333333333333
57t,"Natural Resources and Environment Office, Chiangrai","ต.เวียง อ.เมือง, เชียงราย",19.909217,99.823467,19.900002,99.80002,2026-09-05 02:00:00,7.3,4.5,-2.8,0.6164383561643836
73t,Maesai Health Office,"ต.เวียงพางคำ อ.แม่สาย, เชียงราย",20.427325,99.883842,20.400002,99.899994,2026-09-05 02:00:00,11.1,4.6,-6.5,0.4144144144144144
35t,"City Hall, Chiangmai","ต.ช้างเผือก อ.เมือง, เชียงใหม่",18.840732,98.96978,18.800003,99.0,2026-09-05 02:00:00,18.4,13.2,-5.199999999999999,0.717391304347826
36t,Yupparaj Wittayalai School,"ต.ศรีภูมิ อ.เมือง, เชียงใหม่",18.7909333,98.99,18.800003,99.0,2026-09-05 02:00:00,14.0,13.2,-0.8000000000000007,0.9428571428571428
69t,"Meteorology Center, Phrae","ต.นาจักร อ.เมือง, แพร่",18.1283666,100.1624333,18.099998,100.20001,2026-09-05 02:00:00,10.6,4.5,-6.1,0.4245283018867924
58t,"Natural Resources and Environment Office, Mae Hongson","ต.จองคำ อ.เมือง, แม่ฮ่องสอน",19.30455,97.97165,19.300003,98.0,2026-09-05 02:00:00,11.2,3.2,-7.999999999999999,0.2857142857142857
67t,"Municipality Office, Nan","ต.ในเวียง อ.เมือง, น่าน",18.7888833,100.7763166,18.800003,100.80002,2026-09-05 02:00:00,16.3,16.1,-0.1999999999999993,0.9877300613496932
75t,Chalermprakiet Hospital,"ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ, น่าน",19.5759666,101.0815166,19.599998,101.100006,2026-09-05 02:00:00,6.9,1.7,-5.2,0.2463768115942028
70t,"Phayao Provincial, Phayao","ต.บ้านต๋อม อ.เมือง, พะเยา",19.200226,99.893048,19.200005,99.899994,2026-09-05 02:00:00,10.2,8.9,-1.299999999999999,0.8725490196078433
37t,"Meteorological stations, Lampang","ต.พระบาท อ.เมือง, ลำปาง",18.2783333,99.5064666,18.300003,99.5,2026-09-05 02:00:00,11.1,3.6,-7.5,0.3243243243243243
